ABOX;TBOX;POS;POS_size;POS_density;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.5;;;75671;0.261000156402588;2;2.44799995422363;8246;3.29099988937378;6;37088;2.13499999046326;11973;20219;1.95299983024597;103.799999952316;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.7;;;75671;0.200999975204468;1;2.41900014877319;943;3.3989999294281;6.01900005340576;37088;2.1710000038147;1926;2869;2.15499997138977;139.809000015259;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.9;;;75671;0.276999950408936;1;2.37700009346008;11117;3.1269998550415;5.78099989891052;37088;2.20500016212463;14738;25855;1.97300004959106;93.9930000305176;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.3;;;75671;0.200000047683716;53;3.10899996757507;0;0.367000102996826;3.67600011825562;37088;2.8199999332428;0;0;0.872999906539917;193.144999980927;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.5;;;75671;0.32099986076355;10;3.20800018310547;5943;0.319000005722046;3.84800004959106;37088;3.1489999294281;9456;15399;0.174000024795532;169.526999950409;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.7;;;75671;0.220999956130981;51;3.66400003433228;0;0.384999990463257;4.26999998092651;37088;3.04800009727478;0;0;0.395999908447266;202.220999956131;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.9;;;75671;0.267999887466431;1;2.91799998283386;11564;0.297000169754028;3.48300004005432;37088;2.92899990081787;15022;26586;0.073000192642212;124.087000131607;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;;;75671;0.187999963760376;110;2.65199995040894;9094;0.877000093460083;3.71700000762939;37088;2.11299991607666;12817;21911;0.510999917984009;95.7189998626709;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;;;75671;0.167999982833862;2;2.3439998626709;1789;0.424000024795532;2.93599987030029;37088;2.10199999809265;3443;5232;0.177999973297119;127.259999990463;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;;;75671;0.203000068664551;1;2.43400001525879;10729;0.509999990463257;3.1470000743866;37088;2.08200001716614;14357;25086;0.157999992370606;88.9579999446869;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;;;75671;0.190000057220459;6;2.36199998855591;27757;0.47000002861023;3.0220000743866;37088;2.15899991989136;26393;54150;0.13700008392334;60.8110001087189;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.3;;;75671;0.270999908447266;1;2.4539999961853;2771;11.0820000171661;13.8069999217987;37088;2.36299991607666;4967;7738;9.48800015449524;145.656000137329;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.5;;;75671;0.463000059127808;1;2.36500000953674;18098;11.3719999790192;14.2000000476837;37088;2.37700009346008;20243;38341;5.18799996376038;90.5820000171661;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos5000_prob_0.7;;;75671;0.523000001907349;4;2.48599982261658;6122;11.7070000171661;14.7159998416901;37088;2.31599998474121;9533;15655;5.71600008010864;125.539000034332;0
