ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.3;9375;0.0410001277923584;8;1.18799996376038;194;0.0899999141693115;1.31900000572205;25876;1.39999985694885;26774;28.0009999275207;657;0.214999914169312;30.8989999294281;16505;1.43799996376038;463;1.44500017166138;24.9559998512268;657;0.0400002002716064;29.2750000953674;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.4;9375;0.0420000553131104;7;1.25600004196167;0;0.0699999332427979;1.36800003051758;25876;1.4060001373291;26480;29.4070000648499;0;0.190999984741211;32.3320000171661;16505;1.47900009155273;0;1.45000004768372;27.7839999198914;0;0.0420000553131104;32.0650000572205;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.5;9375;0.0420000553131104;6;1.25799989700317;194;0.0550000667572022;1.35500001907349;25876;1.39800000190735;26357;26.3529999256134;661;0.187000036239624;29.2039999961853;16505;1.39300012588501;467;1.40700006484985;25.2330000400543;661;0.0469999313354492;29.4429998397827;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.6;9375;0.0230000019073486;2;1.19899988174438;0;0.064000129699707;1.28600001335144;25876;1.37400007247925;26241;26.385999917984;0;0.25;29.2699999809265;16505;1.32999992370605;0;1.24499988555908;28.2160000801086;0;0.0520000457763672;32.1460001468658;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.7;9375;0.0400002002716064;22;1.31599998474121;0;0.0509998798370361;1.40700006484985;25876;1.49399995803833;26137;28.6909999847412;0;0.335000038146973;31.8830001354218;16505;1.5460000038147;0;1.33100008964539;27.2459998130798;0;0.0440001487731934;31.6040000915527;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.8;9375;0.0409998893737793;6;1.35000014305115;0;0.0789999961853027;1.47000002861023;25876;1.40299987792969;26041;27.9270000457764;0;0.20799994468689;30.8399999141693;16505;1.49899983406067;0;1.33800005912781;27.9589998722076;0;0.0460000038146973;32.2179999351501;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.9;9375;0.0280001163482666;6;1.4539999961853;0;0.0749998092651367;1.55699992179871;25876;1.66900014877319;25988;28.2820000648499;0;0.305000066757202;31.6490001678467;16505;1.70199990272522;0;1.48099994659424;28.4680001735687;0;0.0309998989105225;33.2469999790192;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1;9375;0.0360000133514404;117;1.33200001716614;0;0.0690000057220459;1.43700003623962;25876;1.54900002479553;27793;27.5230000019073;0;1.46600008010864;31.9010000228882;16505;1.43599987030029;0;1.36700010299683;27.9949998855591;0;0.230000019073486;32.4619998931885;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.2;9375;0.0320000648498535;43;1.23699998855591;0;0.0720000267028809;1.34200000762939;25876;1.43700003623962;26889;30.6280000209808;0;0.643999814987183;33.9509999752045;16505;1.41600012779236;0;1.28800010681152;27.2109999656677;0;0.161999940872192;31.4289999008179;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.3;9375;0.0549998283386231;69;1.70700001716614;0;0.065000057220459;1.82699990272522;25876;1.75399994850159;26421;28.1579999923706;0;1.00899982452393;32.2279999256134;16505;1.55399990081787;0;1.38199996948242;27.1380000114441;0;0.0930001735687256;32.074000120163;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.4;9375;0.0440001487731934;8;1.67799997329712;79;0.0929999351501465;1.81500005722046;25876;1.42499995231628;26204;27.4409999847412;299;0.253000020980835;30.4539999961853;16505;1.50399994850159;220;1.49899983406067;27.6879999637604;299;0.0450000762939453;32.2969999313354;0
